prefecture,population,,,,,,,,,,,,
ñkäCìπ,5683062,,,,,,,,,,,,
ê¬êXåß,1475728,,,,,,,,,,,,
ä‚éËåß,1416180,,,,,,,,,,,,
ã{èÈåß,2365320,,,,,,,,,,,,
èHìcåß,1189279,,,,,,,,,,,,
éRå`åß,1244147,,,,,,,,,,,,
ïüìáåß,2126935,,,,,,,,,,,,
àÔèÈåß,2985676,,,,,,,,,,,,
ì»ñÿåß,2004817,,,,,,,,,,,,
åQînåß,2024852,,,,,,,,,,,,
çÈã åß,6938006,,,,,,,,,,,,
êÁótåß,5926285,,,,,,,,,,,,
ìåãûìs,12064101,,,,,,,,,,,,
ê_ìﬁêÏåß,8489974,,,,,,,,,,,,
êVäÉåß,2475733,,,,,,,,,,,,
ïxéRåß,1120851,,,,,,,,,,,,
êŒêÏåß,1180977,,,,,,,,,,,,
ïüà‰åß,828944,,,,,,,,,,,,
éRóúåß,888172,,,,,,,,,,,,
í∑ñÏåß,2215168,,,,,,,,,,,,
äÚïååß,2107700,,,,,,,,,,,,
ê√â™åß,3767393,,,,,,,,,,,,
à§ímåß,7043300,,,,,,,,,,,,
éOèdåß,1857339,,,,,,,,,,,,
é†âÍåß,1342832,,,,,,,,,,,,
ãûìsï{,2644391,,,,,,,,,,,,
ëÂç„ï{,8805081,,,,,,,,,,,,
ï∫å…åß,5550574,,,,,,,,,,,,
ìﬁó«åß,1442795,,,,,,,,,,,,
òaâÃéRåß,1069912,,,,,,,,,,,,
íπéÊåß,613289,,,,,,,,,,,,
ìáç™åß,761503,,,,,,,,,,,,
â™éRåß,1950828,,,,,,,,,,,,
çLìáåß,2878915,,,,,,,,,,,,
éRå˚åß,1527964,,,,,,,,,,,,
ìøìáåß,824108,,,,,,,,,,,,
çÅêÏåß,1022890,,,,,,,,,,,,
à§ïQåß,1493092,,,,,,,,,,,,
çÇímåß,813949,,,,,,,,,,,,
ïüâ™åß,5015699,,,,,,,,,,,,
ç≤âÍåß,876654,,,,,,,,,,,,
í∑çËåß,1516523,,,,,,,,,,,,
åFñ{åß,1859344,,,,,,,,,,,,
ëÂï™åß,1221140,,,,,,,,,,,,
