Prefecture,Number of intra-prefecture transfers,into,out,sum,0~4,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85~89,90~94,95~99,100~
北海道,178786,48832,50979,-2147,36305,44151,48461,52881,49020,47761,52991,65626,75326,87587,87644,82602,90536,99082,110496,72162,63614,47250,22416,5915,788
青森,15135,16169,20396,-4227,36020,44793,49645,52659,48663,47846,53338,64230,73459,84175,80721,76969,84256,93731,101627,68015,63279,49142,25112,7469,989
岩手,17046,16149,19022,-2873,76333,92434,97534,102804,112253,110496,120557,140107,155195,171435,158545,137046,142715,156432,174154,109254,94717,69304,35130,10337,1462
宮城,51924,44079,43962,117,24275,30708,35643,37726,33399,32827,37633,47830,56517,64123,61915,60543,71791,81422,90958,58275,54819,45128,23607,6435,843
秋田,9013,10541,13439,-2898,32798,39932,44435,47563,43735,41067,47332,56995,64669,70586,67183,65044,73940,82149,91449,57868,53767,43414,24052,7220,959
山形,13385,12023,15134,-3111,59129,71340,76487,84350,82008,80659,88693,102732,112983,127306,121163,115890,129560,142597,154060,94269,84883,65311,34968,10666,1471
福島,24726,23067,28738,-5671,95341,114907,125405,132596,140042,137006,146806,168597,186999,221015,211740,175266,175809,200081,233658,161481,128017,80963,40478,12464,1703
茨城,41046,47382,46501,881,64857,78112,84648,89530,91542,92020,100230,115511,128401,149965,140351,117359,121258,136660,157707,101728,80749,54326,27855,8507,1177
栃木,22442,30533,31249,-716,63968,75549,85003,91503,96744,92394,95059,107027,123029,149853,144486,118185,115326,129591,157586,110688,87193,58877,30615,9505,1386
群馬,24338,26973,27947,-974,259644,299375,316560,328013,382654,398794,406695,449299,500647,608737,593360,463264,405316,426651,545676,405912,316637,181767,73222,20486,3101
埼玉,136238,165913,143434,22479,219206,251622,267870,278976,325619,335120,342365,382726,422181,509412,501617,391118,348566,371232,474123,351212,275511,166839,72124,20263,3119
千葉,115560,143204,124979,18225,505605,544772,530720,530006,766801,947448,924791,980615,1029803,1150172,1126584,895801,718072,657702,816881,605160,506169,348393,157180,44981,7181
神奈川,210876,217649,188727,28922,68799,83555,91473,95762,94205,90936,101073,119176,136633,157726,150499,134848,142290,160585,189567,121285,107854,81877,43871,14075,2185
新潟,33270,20603,26389,-5786,33600,38906,42736,46618,48461,46173,47104,54533,63301,81349,75432,61617,61427,67842,91769,62489,50030,37377,19409,6150,957
富山,9913,11479,13096,-1617,40061,46564,49745,53509,58112,52639,54437,61301,70097,88175,80305,66736,66603,70254,94311,62759,48389,35101,18584,5838,981
石川,14871,17248,18395,-1147,27746,31878,35171,36553,36573,35367,37601,42273,46829,55808,52574,46507,48184,51057,63634,40245,33808,26563,14123,4408,646
福井,7987,8819,10915,-2096,27276,31326,34157,38290,39790,37165,38351,42846,48117,58861,60383,53774,52613,56113,65566,45177,38193,27066,15355,4958,854
山梨,13294,13924,13672,252,69166,82623,90808,95829,91793,88400,93487,107700,126228,153063,148015,126635,125729,134565,166467,120110,100739,75104,43314,14483,2236
